Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
229,0.70386036,0.662859959,0.63528763,0.617060836,0.61923282,0.633604819,0.691152133,0.736416681,0.78122794,0.809622634,0.810725469,0.810152815,0.813527225,0.800796296,0.779091838,0.782652251,0.776371367,0.776583,0.783864198,0.767222087,0.748846637,0.74664463,0.737891521,0.735783247
230,0.671644556,0.631853904,0.608356059,0.595581192,0.603331791,0.629183961,0.679849177,0.713558128,0.750563866,0.768680084,0.77619049,0.767249182,0.76089873,0.738015279,0.704827721,0.700914342,0.691507295,0.699432179,0.716057447,0.717519106,0.724726342,0.730222207,0.708814328,0.69186319
231,0.631607121,0.600675761,0.577648048,0.570754233,0.578144543,0.586739476,0.649167528,0.691093549,0.724889643,0.750265823,0.761781876,0.762968924,0.753698084,0.726038612,0.710916744,0.715712537,0.700882121,0.704020733,0.710121473,0.702140934,0.686797913,0.685350901,0.665636817,0.659466509
232,0.611098499,0.585625657,0.564171644,0.555949448,0.55480707,0.558467807,0.570638531,0.578096212,0.613373736,0.643470282,0.668119294,0.665889459,0.672001916,0.649658898,0.626257715,0.626505962,0.617397691,0.616686634,0.631637145,0.630874095,0.622059474,0.645325182,0.624821686,0.586106042
233,0.572341114,0.542670764,0.512470965,0.51138717,0.510170097,0.518299291,0.540772658,0.551185877,0.580597728,0.610097454,0.629350924,0.628185112,0.616431796,0.596756524,0.578490186,0.57636873,0.564939088,0.580244762,0.602757672,0.616007065,0.629182496,0.632297675,0.625184172,0.595354914
234,0.556495007,0.548467602,0.52972747,0.512598384,0.509483938,0.515967668,0.537142677,0.53791305,0.553410585,0.595548971,0.613419139,0.618461714,0.628227585,0.598648771,0.573395617,0.561470944,0.560307329,0.584174983,0.606257305,0.623276546,0.626909456,0.64148723,0.624041061,0.590307212
235,0.555378991,0.539394481,0.507982735,0.513338,0.508452868,0.543031052,0.614376979,0.691219504,0.732772054,0.761529235,0.764787942,0.767300443,0.755287894,0.754127941,0.741134118,0.727973333,0.728477883,0.731717551,0.753537712,0.756909193,0.734005237,0.729918305,0.704777192,0.677919582
236,0.632127782,0.589389648,0.569071422,0.547205127,0.550693775,0.570719083,0.626867716,0.678211768,0.727528098,0.730222207,0.715499439,0.718044893,0.688306439,0.709812445,0.688481457,0.709799996,0.715142812,0.740218019,0.741035258,0.743662729,0.720966013,0.719784823,0.6822987,0.664152458
237,0.59611357,0.574994947,0.554738234,0.550443331,0.55117416,0.550040569,0.610337646,0.67323876,0.712998656,0.739393456,0.740993518,0.726135275,0.74097521,0.747970814,0.735961194,0.745866201,0.753651217,0.736497233,0.747853647,0.744610317,0.721930444,0.73215766,0.727117281,0.703806171
238,0.649270049,0.622190555,0.607179263,0.584717613,0.589710392,0.613242656,0.675979736,0.730965486,0.772305671,0.797377949,0.794341858,0.783056477,0.761179198,0.758936182,0.763996333,0.739438126,0.71867613,0.726901987,0.741320121,0.739277021,0.710790057,0.693633877,0.689840594,0.681988207
239,0.627363478,0.58998427,0.563532351,0.549824542,0.547713339,0.537446579,0.549937316,0.570368315,0.61547542,0.666298811,0.665348294,0.672372456,0.664476864,0.64738659,0.628777538,0.60688781,0.610877347,0.623322681,0.647576254,0.654437847,0.627974212,0.642013017,0.632348935,0.62263286
240,0.583797852,0.57313785,0.544815652,0.533121652,0.530077506,0.541636032,0.548299174,0.569180534,0.593937925,0.641631492,0.667587648,0.688831493,0.70870961,0.687224108,0.661867701,0.648662246,0.64815916,0.647245257,0.665676361,0.677893952,0.686557721,0.688783162,0.681035493,0.673294414
241,0.636282818,0.604687267,0.59384053,0.576027482,0.586707255,0.61214568,0.673572686,0.754434772,0.781722238,0.804704549,0.789843377,0.792122276,0.777558415,0.77043466,0.762299608,0.745035048,0.738421702,0.744554663,0.754922479,0.745497125,0.728561365,0.720412399,0.713395559,0.705152859
242,0.656617886,0.617160428,0.60289095,0.595163053,0.58810374,0.60970055,0.668895525,0.735978037,0.782306609,0.803387884,0.809352418,0.808549824,0.797822451,0.772401602,0.763593571,0.745695577,0.734668696,0.7367323,0.741355271,0.728901149,0.720882531,0.711337081,0.709939132,0.707967064
243,0.667379677,0.622912596,0.601461512,0.584624612,0.580530357,0.584125919,0.582713325,0.587761026,0.603530242,0.632798564,0.646138761,0.663154341,0.66203027,0.635789252,0.605470089,0.600319866,0.584875056,0.601072664,0.632943558,0.652924928,0.650357506,0.652142106,0.672660248,0.67741137
244,0.62813019,0.591612892,0.567784049,0.559668769,0.564977167,0.592879028,0.653704089,0.717911615,0.765303477,0.782114015,0.781834279,0.783384545,0.795015569,0.792281916,0.78461187,0.784266959,0.767630707,0.772370113,0.779401599,0.77506349,0.744024482,0.718644641,0.718216249,0.709857115
245,0.666306134,0.622952872,0.606586105,0.596062309,0.599897332,0.623582645,0.670750425,0.742145416,0.774562601,0.812309421,0.807047157,0.807058141,0.806057095,0.802242577,0.784463214,0.781120292,0.766263514,0.75983251,0.763740762,0.754595144,0.741139977,0.718613153,0.709158506,0.713958693
246,0.664222758,0.624194111,0.590656516,0.570897031,0.587087316,0.6262211,0.586772429,0.603186064,0.633921902,0.661132478,0.672784738,0.686221598,0.677027648,0.642784855,0.642892502,0.610565389,0.590284511,0.598697835,0.624480438,0.632083845,0.656187297,0.638846579,0.652484087,0.666529484
247,0.623576055,0.580547932,0.543167259,0.551895469,0.535769626,0.544723383,0.555649208,0.565460481,0.595250196,0.620213361,0.644600211,0.639099952,0.666045437,0.662428638,0.618008424,0.608354594,0.588534328,0.606915637,0.640959246,0.657888416,0.656219518,0.666966663,0.681604485,0.679734207
248,0.64155094,0.613351035,0.593699929,0.58058894,0.574988357,0.59370652,0.652882455,0.740149183,0.779794841,0.808409223,0.814943482,0.816978526,0.792499407,0.794054799,0.794907189,0.791652875,0.795426385,0.793270512,0.812705592,0.795082207,0.775086923,0.751835861,0.750137671,0.746178158
249,0.696388766,0.662805769,0.631123075,0.617197775,0.627059576,0.648577299,0.692170021,0.760555284,0.790438,0.80411432,0.787820049,0.786539999,0.784865243,0.779443339,0.776197813,0.777510084,0.762034517,0.764547018,0.781848925,0.769544923,0.754822155,0.744573702,0.73849786,0.722118643
250,0.674994068,0.639505643,0.60753589,0.601348007,0.597905493,0.606553884,0.650024312,0.730999903,0.774688555,0.779319582,0.79949501,0.804351583,0.809772022,0.807400855,0.793259528,0.740787011,0.750438644,0.777617731,0.771830412,0.774845999,0.749472748,0.721569423,0.726806789,0.721105881
251,0.677810471,0.643861327,0.606030294,0.600195376,0.601596986,0.613330531,0.660876175,0.724567434,0.763629453,0.780863257,0.784566467,0.796201152,0.785968078,0.787575463,0.774365614,0.755602048,0.754089129,0.758668895,0.75777037,0.762107747,0.735778853,0.720827609,0.705964973,0.70348982
252,0.657191272,0.618888642,0.601053624,0.597615505,0.608754427,0.622492992,0.669946367,0.74407501,0.780160255,0.804829039,0.795815233,0.78921873,0.789055429,0.766874248,0.752305993,0.743327338,0.739681247,0.746658543,0.750659064,0.744230989,0.736106188,0.721183504,0.718305589,0.714603844
253,0.668377061,0.623288995,0.592039819,0.587390485,0.573915546,0.574904143,0.578011998,0.598623141,0.641575838,0.6799268,0.693084656,0.679118347,0.67876465,0.662029538,0.62551883,0.621128728,0.622559631,0.617666443,0.644314617,0.641554601,0.647582844,0.654220356,0.663308123,0.669926595
254,0.639296207,0.603870759,0.579493428,0.563768882,0.556691262,0.565612066,0.561533189,0.580985111,0.604359199,0.622194216,0.646797093,0.65466852,0.656719675,0.635437751,0.621494143,0.605673666,0.607140451,0.610012508,0.630338788,0.643832768,0.651520389,0.665064164,0.677318369,0.669120339
255,0.622885501,0.588198938,0.564849748,0.572821499,0.564935426,0.594006761,0.647589435,0.737731881,0.770647026,0.77577528,0.775103766,0.772469705,0.755325973,0.757245316,0.73986725,0.737496082,0.732712739,0.737980128,0.752574745,0.747188724,0.740333721,0.726566596,0.720607921,0.701568281
256,0.660461697,0.621976725,0.595815526,0.591875785,0.589278339,0.601262328,0.655115219,0.717917473,0.751939846,0.769332558,0.767190599,0.755122396,0.747859505,0.734580088,0.729469409,0.72193557,0.717269393,0.726266356,0.730946446,0.746813789,0.732933891,0.733694745,0.723743603,0.719291989
257,0.675730024,0.623688096,0.597456597,0.591306793,0.598735182,0.621494143,0.657596963,0.732615344,0.77226686,0.782245828,0.778076879,0.766549109,0.7603561,0.74018653,0.733815573,0.72701476,0.708162587,0.720555928,0.729283407,0.733227541,0.723312282,0.713506135,0.705147001,0.696421719
258,0.653680655,0.61691511,0.597715097,0.581624404,0.575646689,0.603249041,0.638353013,0.711403719,0.75603996,0.755234437,0.764880211,0.75477895,0.752044564,0.73926091,0.733323472,0.718855542,0.724239366,0.728795699,0.740292713,0.735766404,0.732392726,0.729114247,0.704912667,0.710862554
259,0.675926279,0.630960506,0.599344451,0.586428251,0.581991283,0.598244545,0.645535351,0.729151594,0.767163504,0.789666162,0.797067456,0.804708942,0.810697642,0.798183472,0.787860325,0.782592203,0.770551827,0.770976558,0.770975093,0.768775282,0.741927925,0.721814741,0.719628112,0.721738583
260,0.669130591,0.627340045,0.599641762,0.590163682,0.5709893,0.573162748,0.572797333,0.604281576,0.643489322,0.670102345,0.695212702,0.688614734,0.69138427,0.680931507,0.657386795,0.656308126,0.650714133,0.652112814,0.663650104,0.67313331,0.65852185,0.655863623,0.661134675,0.651280196
261,0.61165431,0.580878928,0.557579534,0.540908865,0.537346255,0.538295308,0.527296986,0.549904362,0.579047461,0.618717285,0.653213452,0.667804407,0.676086651,0.664808593,0.627868029,0.60795403,0.589483381,0.605505971,0.621740926,0.638998163,0.655827741,0.653915722,0.651518192,0.645214606
262,0.603428453,0.570234305,0.547112858,0.540046222,0.55407917,0.579954041,0.629420492,0.70881799,0.76091484,0.794056264,0.803940034,0.812093394,0.807127709,0.81011913,0.799536019,0.794453899,0.776788774,0.777689496,0.798276473,0.783570548,0.745714616,0.71919972,0.709808051,0.694673001
263,0.639725331,0.601275509,0.57999505,0.566965345,0.566906761,0.588124976,0.632995551,0.714071466,0.761680819,0.787221033,0.788697337,0.784143202,0.76059556,0.746411028,0.740926147,0.726192394,0.726712323,0.736048337,0.750917564,0.744069152,0.721893097,0.696650195,0.70131271,0.695739221
264,0.663280296,0.624435035,0.600999435,0.590927465,0.584410049,0.609486721,0.649666953,0.722007335,0.769054286,0.780987747,0.767189134,0.772414783,0.771294373,0.774483513,0.756146142,0.749539387,0.750680301,0.748307669,0.760318753,0.756299192,0.728794967,0.706140723,0.709882013,0.702089674
265,0.655879002,0.611042113,0.58376856,0.57892883,0.571777248,0.592676183,0.628711631,0.697627807,0.754208493,0.765944234,0.768138919,0.76502667,0.747204834,0.745394604,0.756146142,0.749539387,0.743346378,0.756473478,0.768959821,0.753572862,0.73560237,0.725222837,0.71987343,0.704535535
266,0.648305618,0.620272677,0.591958535,0.583931862,0.581778185,0.600970143,0.630133746,0.702817574,0.743123028,0.772075731,0.774818904,0.77472517,0.7618119,0.757358821,0.745513968,0.731636267,0.725165718,0.718214052,0.734140712,0.715120111,0.701146479,0.688367219,0.705583448,0.70023697
267,0.642416511,0.608963863,0.589321544,0.578216308,0.557959595,0.571605159,0.559160557,0.586089932,0.621576892,0.658753255,0.691156526,0.694399856,0.716174614,0.682710249,0.661557941,0.652317124,0.633894807,0.639569353,0.657488584,0.653422888,0.644261892,0.638657647,0.652559514,0.643803476
268,0.595128635,0.569890127,0.549449608,0.535932928,0.52650977,0.509494922,0.522569297,0.552253561,0.561705278,0.582595425,0.58986271,0.593893987,0.60003061,0.583703386,0.6109103,0.575156784,0.553724007,0.579189526,0.581788437,0.639113134,0.625868867,0.628101631,0.644555542,0.628465581
269,0.577363918,0.568789489,0.550414039,0.550613223,0.551705805,0.572269349,0.615812275,0.696713905,0.731413649,0.758067682,0.760526724,0.764387378,0.750467936,0.741347216,0.731472965,0.736293656,0.725057339,0.732527468,0.739013395,0.737660848,0.718706154,0.689414399,0.687733785,0.686141046
270,0.640542571,0.61006743,0.57755944,0.58306629,0.56946027,0.595035633,0.625384088,0.709096261,0.750627576,0.781486439,0.769312786,0.787845679,0.783686982,0.763344591,0.755495865,0.758413324,0.749206193,0.745879382,0.757015375,0.762167063,0.730859303,0.702395773,0.700145434,0.697052224
271,0.643259381,0.611447071,0.583213481,0.586571781,0.581291942,0.610122352,0.643826909,0.708066656,0.759696303,0.772507784,0.78063112,0.778001453,0.765899564,0.753537712,0.751170206,0.755686262,0.729898533,0.74085072,0.744277123,0.729749145,0.718536262,0.697971985,0.703946771,0.682437103
272,0.634870223,0.593344767,0.565661862,0.553795772,0.535683216,0.538222811,0.538390506,0.542517714,0.573392688,0.612390266,0.635997955,0.634208229,0.658171081,0.641575106,0.607954762,0.58272138,0.5716469,0.586308155,0.61033252,0.614666967,0.619383672,0.610309087,0.638019087,0.62196574
273,0.586053317,0.556977589,0.531539165,0.5199843,0.524071964,0.539527026,0.550488001,0.598322168,0.638637143,0.655515052,0.67192356,0.672302888,0.694958596,0.684089158,0.670706488,0.650260843,0.651833078,0.665651463,0.675127346,0.665018029,0.654286995,0.640142006,0.63598331,0.644455217
274,0.606631507,0.569346765,0.546094237,0.534767848,0.520502764,0.520510819,0.519722138,0.545462268,0.591486937,0.620110108,0.643060197,0.648980061,0.641941252,0.631734541,0.622709751,0.614475106,0.610464333,0.626129563,0.641488695,0.640425404,0.629192016,0.625975782,0.625600115,0.626134689
275,0.587054363,0.55328756,0.517971224,0.50242316,0.509668476,0.499287478,0.49173167,0.515042781,0.555632365,0.575979882,0.583764166,0.61358244,0.600939387,0.57541089,0.558050399,0.546138175,0.548558406,0.578761867,0.60037552,0.610611524,0.641044925,0.630673447,0.653616214,0.637540166
276,0.597921604,0.556257744,0.548121227,0.545591152,0.544335268,0.557143087,0.598458375,0.670442862,0.721823529,0.75623475,0.769941827,0.770379006,0.780984086,0.769934504,0.775074474,0.76837545,0.756241341,0.757454019,0.761737206,0.73841804,0.731849364,0.704096891,0.701604163,0.687938095
277,0.61833576,0.609505028,0.584396868,0.580233045,0.579204905,0.59516232,0.626469348,0.69898548,0.730819027,0.74397908,0.762181708,0.766989218,0.758475569,0.742863064,0.723545884,0.732179629,0.726376932,0.725107135,0.749419291,0.762955743,0.734898636,0.681455829,0.663847091,0.658929738
