Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,0,0,0,0,0,0,0,0.085645995,0.254959578,0.437522199,0.55610141,0.604582066,0.617369336,0.636051401,0.59309133,0.417728048,0.228237549,0.001456072,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0.139267278,0.390811368,0.6215328,0.806289243,0.91038943,0.930338467,0.867983192,0.72760179,0.519958691,0.274990711,0.046971346,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0.140934101,0.391403022,0.631379317,0.816003413,0.928915977,0.95393101,0.89368082,0.748832152,0.53646532,0.281640011,0.049618744,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0.14325999,0.395975237,0.631829611,0.815302347,0.930065471,0.954820793,0.897205758,0.752763181,0.54318258,0.289063609,0.053093991,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0.124611888,0.307726548,0.526070903,0.596422565,0.610631631,0.801441228,0.775209808,0.665795255,0.439461046,0.236731719,0.002038166,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0.149702552,0.402173535,0.641663527,0.826277203,0.92971199,0.956849526,0.898114649,0.757453298,0.54099493,0.287872708,0.055763253,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0.149783516,0.401197675,0.636230759,0.816719573,0.927424797,0.953334746,0.886468676,0.749030797,0.544034831,0.294445318,0.059141595,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0.006571379,0.043504679,0.07539056,0.104359727,0.097199401,0.139922961,0.107812568,0.074103416,0.058459002,0.024622231,0.003235102,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0.058930471,0.145199976,0.375875879,0.550918426,0.609751967,0.659304733,0.783375655,0.721675625,0.545043164,0.29769836,0.063056622,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0.13373539,0.34925861,0.621306799,0.779676762,0.856209109,0.776328166,0.800421839,0.573364195,0.378102788,0.264063921,0.060092875,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0.051895421,0.186231121,0.39108079,0.576178511,0.629150385,0.652444532,0.599282279,0.521280616,0.435401439,0.254922455,0.05703177,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0.161005,0.41241319,0.64759189,0.832040957,0.941939114,0.962620812,0.900585665,0.75742184,0.548433165,0.302310332,0.068333552,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0.160948016,0.408851306,0.642147258,0.823803345,0.935089093,0.956913722,0.893132331,0.753234056,0.547105255,0.302081068,0.069638989,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0.073810744,0.180160241,0.203880757,0.161750499,0.134925503,0.188922901,0.133328546,0.068143186,0.065074036,0.089461041,0.017565651,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0.166979901,0.418744058,0.654019833,0.835973638,0.941759655,0.963644807,0.898831192,0.760724075,0.552647825,0.306497027,0.072956429,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0.040943211,0.076474173,0.078189283,0.13119759,0.14766861,0.070479301,0.057392051,0.050436578,0.047640912,0.045659714,0.017300057,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0.078643359,0.180168992,0.163823595,0.336001832,0.242525082,0.2016659,0.108852955,0.175878701,0.121938566,0.065763806,0.014064468,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0.089206853,0.193012093,0.306558331,0.53680868,0.562825424,0.432941901,0.401904664,0.536548329,0.285656992,0.15642728,0.026148684,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0.119866677,0.268169446,0.255180445,0.40878624,0.339647221,0.297507469,0.337773241,0.146673145,0.126991756,0.079264818,0.027887756,0,0,0,0,0,0
70,0,0,0,0,0,0,0.003144433,0.099400206,0.282770159,0.517478202,0.60261922,0.71545514,0.553310711,0.556013221,0.408173953,0.195037123,0.102619319,0.013124831,0,0,0,0,0,0
71,0,0,0,0,0,0,0.000520988,0.031865842,0.097962542,0.152620801,0.206754402,0.273089391,0.295145739,0.283530408,0.24909322,0.159294777,0.077800026,0.01418731,0,0,0,0,0,0
72,0,0,0,0,0,0,0.005095875,0.181076071,0.432384481,0.668921434,0.849022234,0.957883664,0.98983313,0.930414051,0.786410401,0.575214394,0.325658956,0.087178387,0,0,0,0,0,0
73,0,0,0,0,0,0,0.005808884,0.183101451,0.434790515,0.671360804,0.849290476,0.954982066,0.990002251,0.929651048,0.788480793,0.575038334,0.324353479,0.088471847,0,0,0,0,0,0
74,0,0,0,0,0,0,0.002562916,0.050550148,0.149025394,0.200257011,0.291502928,0.446502822,0.411792318,0.302394283,0.244481348,0.15623415,0.106532473,0.025614237,0,0,0,0,0,0
75,0,0,0,0,0,0,0.00712818,0.184767888,0.437292399,0.669399475,0.847493871,0.953764214,0.970298536,0.908969398,0.77134419,0.568852662,0.322298492,0.089207652,0,0,0,0,0,0
76,0,0,0,0,0,0,0.00282733,0.063485992,0.146273616,0.206949188,0.297133753,0.427871179,0.693423166,0.699870606,0.590006905,0.460858133,0.269329606,0.08301702,0,0,0,0,0,0
77,0,0,0,0,0,0,0.008443182,0.185397753,0.432234493,0.663985969,0.841840734,0.951313764,0.972003546,0.913270736,0.777809011,0.573890888,0.327979058,0.092794848,0,0,0,0,0,0
78,0,0,0,0,0,0,0.009253557,0.190074635,0.441261452,0.674956971,0.85677083,0.962380156,0.99372296,0.935790202,0.788976184,0.5826556,0.334340162,0.095353104,0,0,0,0,0,0
79,0,0,0,0,0,0,0.0007568,0.027741191,0.064106776,0.109603977,0.113317567,0.077111404,0.036288248,0.038645033,0.04851994,0.037952294,0.014779067,0.007954877,0,0,0,0,0,0
80,0,0,0,0,0,0,0.003239016,0.077037872,0.161277575,0.188711277,0.353041567,0.542623507,0.598623424,0.505127472,0.38728778,0.329125571,0.225032896,0.085947878,0,0,0,0,0,0
81,0,0,0,0,0,0,0.003610623,0.073590415,0.114344728,0.12643185,0.21120461,0.397834556,0.526045772,0.495851125,0.378647957,0.432236004,0.192543633,0.055052459,0,0,0,0,0,0
82,0,0,0,0,0,0,0.011789971,0.192547755,0.439589638,0.67488796,0.851167137,0.95767763,0.981880301,0.921879156,0.78925123,0.585150311,0.338362393,0.099965796,0,0,0,0,0,0
83,0,0,0,0,0,0,0.00623779,0.109316551,0.218543009,0.302602061,0.294884012,0.327370272,0.474167488,0.435114025,0.482818896,0.361111312,0.266515414,0.079022544,0,0,0,0,0,0
84,0,0,0,0,0,0,0.010164029,0.105625888,0.252359602,0.408836361,0.432020614,0.363838366,0.563531055,0.552782221,0.549704293,0.49536997,0.277241049,0.072797809,0,0,0,0,0,0
85,0,0,0,0,0,0,0.013830374,0.200392042,0.450978234,0.681805684,0.862981448,0.970063434,0.995072758,0.940473787,0.799597841,0.589610062,0.343166379,0.104370517,0,0,0,0,0,0
86,0,0,0,0,0,0,0.014271193,0.199896928,0.448827915,0.681275479,0.860573102,0.965322664,0.985913627,0.92926158,0.787942901,0.583791382,0.339919888,0.104417639,0,0,0,0,0,0
87,0,0,0,0,0,0,0.002170162,0.013607802,0.034711569,0.034056999,0.028843847,0.046907165,0.03817944,0.020668607,0.028305397,0.004654992,0.007688916,0.005795821,0,0,0,0,0,0
88,0,0,0,0,0,0,0.013602893,0.177079162,0.388630011,0.503194271,0.448969433,0.670149036,0.758447582,0.787876354,0.623192532,0.496723544,0.237521586,0.086549525,0,0,0,0,0,0
89,0,0,0,0,0,0,0.009075614,0.109394149,0.15075134,0.347636803,0.396671903,0.328961998,0.495019984,0.336773541,0.244071279,0.227150753,0.125683826,0.025156603,0,0,0,0,0,0
90,0,0,0,0,0,0,0.016480594,0.204985816,0.451004866,0.679544554,0.853144552,0.966760107,0.992124175,0.930726931,0.791672352,0.59078634,0.347365445,0.109439468,0,0,0,0,0,0
91,0,0,0,0,0,0,0.015206333,0.097383461,0.205454241,0.28188713,0.328355342,0.370606477,0.354030753,0.339401978,0.319536176,0.248107137,0.15965745,0.064660512,0,0,0,0,0,0
92,0,0,0,0,0,0,0.004601308,0.081522425,0.194514893,0.199046629,0.194866331,0.235398289,0.141142122,0.161781797,0.086417962,0.096328971,0.048593895,0.016054008,0,0,0,0,0,0
93,0,0,0,0,0,0,0.004177207,0.044820149,0.145174689,0.384145853,0.506875392,0.579056977,0.680636216,0.693227088,0.619239968,0.370015147,0.163353629,0.029489163,9.79E-09,0,0,0,0,0
94,0,0,0,0,0,0,0.018032503,0.208157541,0.451443139,0.679057139,0.85619534,0.961530038,0.983295523,0.918719543,0.788512354,0.584055874,0.346464915,0.112923158,2.78E-06,0,0,0,0,0
95,0,0,0,0,0,0,0.009496218,0.133582365,0.213402761,0.425705892,0.464383486,0.611667502,0.672465095,0.635599056,0.705063149,0.535796512,0.30187021,0.10127455,1.83E-07,0,0,0,0,0
96,0,0,0,0,0,0,0.008013612,0.075451313,0.122523698,0.182912723,0.173941709,0.120363793,0.114729357,0.185111013,0.177349432,0.130487804,0.059270254,0.022456586,1.09E-07,0,0,0,0,0
97,0,0,0,0,0,0,0.019174245,0.210311453,0.451659958,0.672232442,0.843154119,0.946218305,0.966374412,0.907831174,0.775140529,0.578830717,0.343575102,0.113331431,1.31E-05,0,0,0,0,0
98,0,0,0,0,0,0,0.019949476,0.131995987,0.239798732,0.331966957,0.397256984,0.435073244,0.437453237,0.392896384,0.313942953,0.251994049,0.171221231,0.081072063,1.70E-05,0,0,0,0,0
99,0,0,0,0,0,0,0.019988955,0.213661075,0.462025332,0.692168707,0.870585782,0.975564289,1,0.940757421,0.802046714,0.598756191,0.356472672,0.118251716,2.42E-05,0,0,0,0,0
100,0,0,0,0,0,0,0.020360724,0.214980995,0.45941487,0.686817633,0.857865087,0.957448885,0.972387575,0.918991456,0.787496865,0.586592702,0.347366398,0.11686115,3.00E-05,0,0,0,0,0
101,0,0,0,0,0,0,0.007773258,0.09947635,0.188577267,0.21126353,0.284088706,0.448378066,0.492212801,0.495179963,0.371176252,0.314559978,0.147522991,0.044185164,6.24E-07,0,0,0,0,0
102,0,0,0,0,0,0,0.018518851,0.093569288,0.136880971,0.176556686,0.231595997,0.321977637,0.365953196,0.34131816,0.337881281,0.254166687,0.174395104,0.072758445,2.17E-05,0,0,0,0,0
103,0,0,0,0,0,0,0.016422944,0.186679858,0.387743685,0.646656383,0.808511844,0.930681171,0.9087141,0.875807477,0.730686359,0.494945651,0.257894325,0.077190611,1.11E-06,0,0,0,0,0
104,0,0,0,0,0,0,0.00576128,0.068918423,0.166111531,0.110215094,0.09565532,0.106397791,0.076034492,0.11376767,0.069130368,0.056367172,0.029965033,0.006356801,8.38E-08,0,0,0,0,0
105,0,0,0,0,0,0,0.005835317,0.057203459,0.131904822,0.284620067,0.369181862,0.399932036,0.463765405,0.35537412,0.21921037,0.150082043,0.036475304,0.007706716,8.10E-08,0,0,0,0,0
106,0,0,0,0,0,0,0.010808359,0.076600427,0.16739345,0.192034121,0.375200372,0.429517061,0.346875666,0.402193631,0.327506365,0.216330178,0.129715619,0.048408176,4.73E-05,0,0,0,0,0
107,0,0,0,0,0,0,0.018228001,0.183312352,0.326812679,0.506549972,0.702939584,0.666910255,0.771082236,0.596927905,0.586108619,0.469427148,0.332243618,0.11063623,3.51E-06,0,0,0,0,0
108,0,0,0,0,0,0,0.008120957,0.092097173,0.198834453,0.219223206,0.450381335,0.441866432,0.584846363,0.512577688,0.482168676,0.302177824,0.228992655,0.08116596,2.63E-06,0,0,0,0,0
109,0,0,0,0,0,0,0.00235731,0.025969515,0.049877501,0.095527913,0.12550417,0.339549228,0.317062086,0.145455689,0.097069517,0.104045885,0.051957417,0.032293634,4.10E-05,0,0,0,0,0
110,0,0,0,0,0,0,0.022781589,0.21915656,0.460628843,0.684052647,0.85599834,0.958778306,0.982365775,0.926675891,0.791617829,0.596002846,0.359961008,0.124959033,0.000123541,0,0,0,0,0
111,0,0,0,0,0,0,0.017047551,0.118051792,0.201235728,0.282324556,0.365458146,0.362935594,0.334966929,0.334879284,0.315236707,0.248951671,0.181792139,0.093073685,7.27E-05,0,0,0,0,0
112,0,0,0,0,0,0,0.004687916,0.077307007,0.153641021,0.243568026,0.299506749,0.43364772,0.595533816,0.505521164,0.585486033,0.443430282,0.293035056,0.096950765,3.91E-06,0,0,0,0,0
113,0,0,0,0,0,0,0.012738398,0.100636884,0.180798117,0.255802325,0.31825138,0.25827838,0.179684204,0.106981865,0.086864631,0.064444841,0.043703974,0.032094231,5.50E-05,0,0,0,0,0
114,0,0,0,0,0,0,0.015357674,0.111426827,0.213468577,0.447096613,0.584177933,0.57645807,0.439980801,0.451287559,0.363288266,0.316577106,0.203105814,0.080210422,4.23E-06,0,0,0,0,0
115,0,0,0,0,0,0,0.004829563,0.039313659,0.08305332,0.130929616,0.113798513,0.122614062,0.106949831,0.074497868,0.023243687,0.018197731,0.033710544,0.013783845,7.61E-07,0,0,0,0,0
116,0,0,0,0,0,0,0.006593809,0.039378199,0.04493119,0.056909408,0.071725535,0.111534674,0.160584781,0.118239168,0.084389016,0.159097804,0.120952811,0.030416309,1.84E-06,0,0,0,0,0
117,0,0,0,0,0,0,0.023545387,0.21640305,0.448102803,0.660962536,0.825470922,0.924976342,0.945037165,0.892405861,0.762788291,0.574302767,0.348554693,0.123882186,0.000203089,0,0,0,0,0
